date_debut_semaine,semaine,classe_age,taux_urgences_grippe,taux_hospitalisations_grippe,taux_sos_medecins_grippe,groupe_age,ACTE_VGP,DOSES_J07E1
2021-10-18,2021-S42,65 ans ou plus,36.167818679,28.247700951,221.35416667,65 ans et plus,160296,804520
2021-11-01,2021-S44,65 ans ou plus,34.232975941,16.209031672,401.99913081,65 ans et plus,571683,1468210
2021-11-15,2021-S46,65 ans ou plus,43.013736645,34.913984638,417.12673292,65 ans et plus,533202,1043782
2021-11-29,2021-S48,65 ans ou plus,63.746965238,42.917139266,732.45952197,65 ans et plus,227137,407780
2021-12-13,2021-S50,65 ans ou plus,105.36110123,99.586095291,758.59537502,65 ans et plus,98680,164372
2022-01-03,2022-S01,65 ans ou plus,180.08503263,221.23241202,1016.7597765,65 ans et plus,26968,46422
2022-01-31,2022-S05,65 ans ou plus,151.65901778,195.92127527,993.37748344,65 ans et plus,5651,7981
2022-02-28,2022-S09,65 ans ou plus,239.3489708,347.50800183,1726.148822,65 ans et plus,530,1150
2022-11-28,2022-S48,65 ans ou plus,369.63036963,430.05753472,3241.5983064,65 ans et plus,1016894,1549600
2023-02-06,2023-S06,65 ans ou plus,833.18355714,1195.7074104,3362.5730994,65 ans et plus,5790,5704
2023-10-23,2023-S43,65 ans ou plus,96.148068025,71.83908046,1393.0647424,65 ans et plus,1035854,2272282
2023-10-30,2023-S44,65 ans ou plus,104.49828671,108.36457357,1824.4340434,65 ans et plus,849070,1781032
2023-11-06,2023-S45,65 ans ou plus,93.967531745,93.6000936,1429.6226217,65 ans et plus,1257594,2296072
2021-10-25,2021-S43,65 ans ou plus,36.404769025,24.874074995,405.95399188,65 ans et plus,676827,2188435
2021-11-22,2021-S47,65 ans ou plus,44.309055663,31.277367697,533.15994798,65 ans et plus,345628,638686
2021-12-20,2021-S51,65 ans ou plus,196.16679479,251.15110925,808.08080808,65 ans et plus,41000,70307
2021-12-27,2021-S52,65 ans ou plus,267.23950542,361.6796048,1063.1644778,65 ans et plus,27940,47540
2022-01-10,2022-S02,65 ans ou plus,100.7993952,132.85826439,946.63353449,65 ans et plus,17359,30434
2022-01-17,2022-S03,65 ans ou plus,117.36776121,130.52179714,1073.2397688,65 ans et plus,11843,20649
2022-02-07,2022-S06,65 ans ou plus,135.37313041,178.64712651,917.43119266,65 ans et plus,4156,5314
2022-02-14,2022-S07,65 ans ou plus,152.59608989,190.25760275,1024.5901639,65 ans et plus,3862,4187
2022-02-21,2022-S08,65 ans ou plus,165.94582587,196.87461548,1236.4760433,65 ans et plus,3342,4533
2022-10-31,2022-S44,65 ans ou plus,119.7882453,112.88805268,1288.2603642,65 ans et plus,749626,1842662
2022-11-07,2022-S45,65 ans ou plus,117.90658756,103.20230688,1381.48806,65 ans et plus,1006128,2094184
2022-12-05,2022-S49,65 ans ou plus,771.00635366,959.97799477,4929.8398113,65 ans et plus,573802,870062
2022-12-19,2022-S51,65 ans ou plus,3558.9145365,4334.7628464,10414.431984,65 ans et plus,141538,213038
2023-01-23,2023-S04,65 ans ou plus,483.87096774,640.5414388,2691.6698558,65 ans et plus,19994,27512
2023-02-13,2023-S07,65 ans ou plus,761.96167781,1058.6246775,3889.4447224,65 ans et plus,4514,3682
2023-02-27,2023-S09,65 ans ou plus,389.97214485,489.59971514,2824.9244362,65 ans et plus,1410,1226
2023-10-16,2023-S42,65 ans ou plus,111.89989171,103.72547325,1361.6212793,65 ans et plus,1116458,2874648
2023-12-11,2023-S50,65 ans ou plus,466.82420536,552.89448474,3793.8439513,65 ans et plus,405952,573608
2023-12-18,2023-S51,65 ans ou plus,650.2939374,842.11670108,4191.9470491,65 ans et plus,212810,305720
2021-11-08,2021-S45,65 ans ou plus,42.988088139,9.7399435083,328.39088467,65 ans et plus,565005,1232657
2021-12-06,2021-S49,65 ans ou plus,65.359477124,76.331216414,779.45310503,65 ans et plus,139566,242300
2022-01-24,2022-S04,65 ans ou plus,100.80117296,122.22804261,720.81764389,65 ans et plus,9521,17193
2022-10-17,2022-S42,65 ans ou plus,96.061479347,83.246618106,977.01149425,65 ans et plus,1040178,3386094
2022-10-24,2022-S43,65 ans ou plus,100.95786856,108.47621056,1270.8052182,65 ans et plus,828822,2232342
2022-11-14,2022-S46,65 ans ou plus,138.57045678,137.81374619,1527.1625087,65 ans et plus,1166568,2110680
2022-11-21,2022-S47,65 ans ou plus,183.8613454,192.68982959,2582.9323879,65 ans et plus,1053588,1739522
2022-12-12,2022-S50,65 ans ou plus,1708.8880321,2228.9012421,7641.0319714,65 ans et plus,296100,436824
2022-12-26,2022-S52,65 ans ou plus,4078.1021013,5349.8477791,10157.798747,65 ans et plus,105322,152612
2023-01-02,2023-S01,65 ans ou plus,2039.3725758,2703.5965275,6069.0423163,65 ans et plus,83162,116394
2023-01-09,2023-S02,65 ans ou plus,740.04933662,986.4848558,3049.5831505,65 ans et plus,45120,59830
2023-01-16,2023-S03,65 ans ou plus,476.86784529,609.00210214,2775.024777,65 ans et plus,27150,36380
2023-01-30,2023-S05,65 ans ou plus,699.53843539,992.43570348,2956.0384032,65 ans et plus,11560,16250
2023-02-20,2023-S08,65 ans ou plus,596.85226956,821.61384149,2902.4038994,65 ans et plus,3658,3206
2023-11-13,2023-S46,65 ans ou plus,114.04628792,111.03643748,1854.7661871,65 ans et plus,1212026,2054050
2023-11-20,2023-S47,65 ans ou plus,136.71634438,151.43572718,2566.1587811,65 ans et plus,925964,1452932
2023-11-27,2023-S48,65 ans ou plus,206.49498769,200.95453404,3004.4794057,65 ans et plus,716164,1080088
2023-12-04,2023-S49,65 ans ou plus,326.09072723,371.54557535,3675.7675555,65 ans et plus,556734,808638
2023-12-25,2023-S52,65 ans ou plus,1262.5922045,1662.7139616,5542.4796902,65 ans et plus,77530,113810
2024-01-22,2024-S04,65 ans ou plus,2387.7248971,3186.0395036,7585.2931434,65 ans et plus,29972,43814
2024-01-29,2024-S05,65 ans ou plus,2581.0964621,3513.3776462,8469.9453552,65 ans et plus,22192,29588
2024-02-12,2024-S07,65 ans ou plus,1860.1545359,2516.9024487,5812.2045552,65 ans et plus,4962,5564
2024-02-19,2024-S08,65 ans ou plus,1255.1586042,1823.6036243,4184.8390447,65 ans et plus,3670,3964
2024-02-26,2024-S09,65 ans ou plus,848.95004676,1200.4632376,3039.8857493,65 ans et plus,1702,1820
2024-10-21,2024-S43,65 ans ou plus,120.97471052,114.32395505,1606.2228508,65 ans et plus,525754,1037884
2024-11-11,2024-S46,65 ans ou plus,150.92635507,172.25312738,1770.28451,65 ans et plus,634447,992283
2024-12-16,2024-S51,65 ans ou plus,2069.9711535,2651.134766,6184.8574238,65 ans et plus,157479,205971
2025-01-13,2025-S03,65 ans ou plus,2944.5681338,3938.8334592,9105.6208868,65 ans et plus,78318,99456
2024-01-08,2024-S02,65 ans ou plus,1061.8986035,1390.3802208,4840.0244549,65 ans et plus,80320,112066
2024-02-05,2024-S06,65 ans ou plus,2467.567284,3546.4098074,7114.1389323,65 ans et plus,9922,12406
2024-10-14,2024-S42,65 ans ou plus,91.118248707,97.743748473,1531.3614433,65 ans et plus,514242,1144246
2024-10-28,2024-S44,65 ans ou plus,150.92025987,139.75642452,1528.343831,65 ans et plus,427760,816342
2024-11-04,2024-S45,65 ans ou plus,116.69150694,118.62068966,1398.5320373,65 ans et plus,698080,1191012
2024-11-25,2024-S48,65 ans ou plus,336.13832322,426.05156038,2413.5977337,65 ans et plus,432110,611625
2024-12-02,2024-S49,65 ans ou plus,607.50781332,745.11190275,2849.5616059,65 ans et plus,323123,439270
2024-12-30,2025-S01,65 ans ou plus,5152.7819932,6669.4670027,10646.473779,65 ans et plus,62029,84775
2025-01-06,2025-S02,65 ans ou plus,4017.0875302,5646.5344551,9611.2412178,65 ans et plus,115495,147064
2025-01-20,2025-S04,65 ans ou plus,3676.1687065,5082.7151997,9943.3396289,65 ans et plus,52419,68732
2025-01-27,2025-S05,65 ans ou plus,3205.157001,4446.6929385,9094.0406476,65 ans et plus,7106,8647
2024-01-01,2024-S01,65 ans ou plus,1302.924415,1745.090286,4647.3437885,65 ans et plus,86772,121588
2024-01-15,2024-S03,65 ans ou plus,1493.6070842,2075.1814772,6025.68324,65 ans et plus,43782,61268
2024-11-18,2024-S47,65 ans ou plus,229.54045065,308.68376161,1805.6174766,65 ans et plus,586184,863252
2024-12-09,2024-S50,65 ans ou plus,931.08387713,1216.6415404,4278.6615469,65 ans et plus,256010,341638
2024-12-23,2024-S52,65 ans ou plus,3817.0719701,5037.1413313,9875.2079867,65 ans et plus,58795,80607
